page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
microbial-identification-request-form		not	0.01	0.01	0.05930824	0.05930824	0.02	0.00000000
mink-coypu-and-grey-squirrels-apply-for-a-licence-to-keep-them		not	0.01	0.02	0.05827932	0.09492493	0.03	0.00000000
minor-change-notice-for-entry-level-stewardship-agreements		not	0.01	0.01	0.03631773	0.03631773	0.01	0.00000000
minor-change-request-for-higher-level-stewardship-agreements		not	0.01	0.01	0.02616911	0.02616911	0.01	0.00000000
minor-variations-to-premises-licence-application-form		not	0.01	0.02	0.01182518	0.01849604	0.02	0.00000000
misuse-of-drugs-annual-statement-of-compliance		not	0.01	0.01	0.01123152	0.01123152	0.01	0.00000000
ml5-medical-report-form-and-certificate-msf-4112		not	0.01	0.01	0.02060661	0.02060661	0.02	0.00000000
mlc-2006-model-formats-for-list-of-crew-and-young-persons		not	0.01	0.03	0.02251511	0.05949669	0.02	0.00000000
mod-form-765-report-unsatisfactory-feature-in-aircraft-documents		not	0.02	0.01	0.06838360	0.06838360	0.01	0.00000000
mod-subject-access-request-form		not	0.01	0.02	0.04456835	0.05487738	0.01	0.00000000
mod-support-fund-for-schools-with-service-children-grant-application-form		not	0.01	0.06	0.01274614	0.05550671	0.08	0.00000000
mod-working-arrangements-with-media-organisations-forms		not	0.01	0.03	0.01328058	0.03686314	0.01	0.00000000
model-special-resolutions		not	0.01	0.07	0.00528593	0.03200693	0.02	0.00000000
modify-or-discharge-a-planning-obligation-s106b		not	0.01	0.01	0.02252798	0.02252798	0.01	0.00000000
modify-or-discharge-a-planning-obligation-that-contains-an-affordable-housing-requirement		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
molecular-confirmation-tests-request-form		not	0.01	0.01	0.06142673	0.06142673	0.02	0.00000000
money-laundering-regulations-application-for-fit-and-proper-test-mlr101		not	0.01	0.01	0.03862638	0.03862638	0.04	0.00000000
money-laundering-regulations-report-changes-to-your-business-mlr-rct1		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
monthly-borrowing-and-lending-inquiry		not	0.01	0.01	0.06078949	0.06078949	0.02	0.00000000
monthly-bulk-notification-form		not	0.01	0.01	0.00610666	0.00610666	0.01	0.00000000
moroccan-exceptional-empty-entry-and-hors-contingent-permits		not	0.01	0.01	0.01277218	0.01277218	0.03	0.00000000
mortgage-cancellation-of-entries-for-lenders-ds1		not	0.01	0.02	0.02506275	0.03189859	0.02	0.00000000
mortgage-of-ship-to-secure-current-account-form-msf-4736		not	0.01	0.01	0.05312681	0.05312681	0.01	0.00000000
mortgage-of-ship-to-secure-principal-sum-and-interest-msf-4737		not	0.01	0.01	0.07114992	0.07114992	0.02	0.00000000
mot-inspection-checklist-vt-29		not	0.01	0.01	0.11146593	0.11146593	0.01	0.00000000
mot-slot-refund-request-form		not	0.01	0.01	0.01700058	0.01700058	0.01	0.00000000
mot-test-stations-pay-for-mot-test-slots-by-cheque-or-postal-order		not	0.01	0.01	0.01364546	0.01364546	0.01	0.00000000
mot-tester-annual-training-record		not	0.01	0.03	0.00364580	0.00669498	0.02	0.00000000
motorcycle-mot-inspection-checklist-vt-29m		not	0.01	0.01	0.11273355	0.11273355	0.01	0.00000000
motorcycle-single-vehicle-approval-msva-1		not	0.01	0.01	0.15263281	0.15263281	0.02	0.00000000
motorcycle-trainer-standards-check-form		not	0.01	0.02	0.00274973	0.00513268	0.01	0.00000000
motorcycle-training-incident-report-form		not	0.01	0.01	0.01234856	0.01234856	0.04	0.00000000
mou-data-request-form-msf-5369		not	0.02	0.01	0.03974791	0.03974791	0.01	0.00000000
msf-4398-application-for-a-boatmasters-licence		not	0.01	0.01	0.08420019	0.08420019	0.01	0.00000000
msf-4399-application-for-a-boatmasters-licence		not	0.01	0.01	0.08261633	0.08261633	0.01	0.00000000
msf-5608-isps-code-contact-details		not	0.01	0.01	0.29032726	0.29032726	0.01	0.00000000
msva-appeal-application-form-msva-17		not	0.01	0.01	0.02645798	0.02645798	0.01	0.00000000
multi-agency-risk-assessment-conference-marac-protection-plans-requests-for-evidence		not	0.01	0.01	0.00344296	0.00344296	0.01	0.00000000
multi-disciplinary-meeting-record-and-recommendation-form		not	0.01	0.01	0.01007814	0.01007814	0.01	0.00000000
mussel-seed-licence-application-form		not	0.01	0.01	0.02050982	0.02050982	0.01	0.00000000
mycobacterium-bovis-m-bovis-enhanced-surveillance-questionnaire		not	0.01	0.01	0.01233788	0.01233788	0.02	0.00000000
mycobacterium-referral-form		not	0.01	0.01	0.02022095	0.02022095	0.02	0.00000000
mycobacterium-tuberculosis-molecular-epidemiology-request-form		not	0.01	0.01	0.02034264	0.02034264	0.02	0.00000000
mycology-identification-and-susceptibility-testing-request-form		not	0.01	0.01	0.02137442	0.02137442	0.01	0.00000000
national-antenatal-infection-screening-and-monitoring-form		not	0.01	0.01	0.01502733	0.01502733	0.01	0.00000000
national-citizen-service-in-northern-ireland		not	0.01	0.07	0.02925253	0.11229706	0.01	0.00000000
national-dna-database-ethics-group-recruitment-campaign		not	0.01	0.03	0.04598475	0.09303017	0.01	0.00000000
national-insurance-appeal-against-a-decision-made-by-hm-revenue-and-customs-ca82		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-application-for-a-refund-of-class-2-national-insurance-contributions-ca8480		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
national-insurance-application-for-deferment-of-class-2-and-or-class-4-contributions-ca72b		not	0.01	0.02	0.03753366	0.05476990	0.01	0.00000000
national-insurance-application-for-deferment-of-payment-of-class-1-national-insurance-contributions-ca72a		not	0.01	0.02	0.02334690	0.03772306	0.04	0.00000000
national-insurance-application-for-form-e101-if-self-employed-in-european-economic-area-ca3837		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
national-insurance-application-for-healthcare-cover-in-the-european-economic-area-ca8454		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-application-for-national-insurance-credits-modca1		not	0.01	0.01	0.01073027	0.01073027	0.01	0.00000000
national-insurance-application-for-refund-of-class-4-national-insurance-contributions-ca5610		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-application-for-service-spouse-class-3-credits		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-application-for-specified-adult-childcare-credits-ca9176		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-application-form-for-home-responsibilities-protection-cf411		not	0.01	0.01	0.00963945	0.00963945	0.03	0.00000000
national-insurance-application-to-pay-self-employed-national-insurance-contributions-by-direct-debit-ca5601		not	0.01	0.01	0.02913094	0.02913094	0.02	0.00000000
national-insurance-application-to-pay-voluntary-national-insurance-contributions-ca5603		not	0.01	0.01	0.06047831	0.06047831	0.05	0.00000000
national-insurance-certificate-of-continuing-liability-working-abroad-ca9107		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-claim-refund-of-uk-contributions-paid-while-working-abroad-ca307		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
national-insurance-credits-for-parents-and-carers-cf411a		not	0.01	0.01	0.00783615	0.00783615	0.03	0.00000000
national-insurance-employees-going-to-work-in-the-european-economic-area-ca3822		not	0.01	0.01	0.05554695	0.05554695	0.04	0.00000000
national-insurance-employment-history-request		not	0.01	0.01	0.00703411	0.00703411	0.02	0.00000000
national-insurance-get-your-national-insurance-number-in-writing-ca5403		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
national-insurance-married-womans-reduced-rate-contributions-cf9		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-order-form-for-national-insurance-services-to-pensions-industry-forms-ca1586		not	0.01	0.01	0.01339102	0.01339102	0.01	0.00000000
national-insurance-sending-employees-to-work-abroad-ca3821		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
national-insurance-statement-of-earnings-by-entertainers-ca9184		not	0.01	0.01	0.02147436	0.02147436	0.01	0.00000000
national-insurance-statement-of-national-insurance-contributions-ca3916		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
national-insurance-widows-reduced-rate-contributions-cf9a		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
national-insurance-working-in-2-or-more-countries-in-the-european-economic-area-ca8421i		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
national-list-and-plant-breeders-rights-authorisation-of-agent		not	0.01	0.01	0.25884428	0.25884428	0.01	0.00000000
national-list-application-to-add-a-plant-variety		not	0.01	0.03	0.26855135	0.64248266	0.02	0.00000000
national-list-application-to-maintain-a-plant-variety		not	0.01	0.01	0.25537548	0.25537548	0.01	0.00000000
national-minimum-standards-check-sheet-and-evidence-form		not	0.01	0.01	0.07270279	0.07270279	0.01	0.00000000
national-minimum-standards-check-sheet-for-a-material-change-inspection-of-an-independent-school		not	0.01	0.02	0.08001232	0.12430840	0.01	0.00000000
national-minimum-standards-check-sheet-for-a-material-change-inspection-of-an-independent-special-school-residential-provision		not	0.01	0.02	0.08854046	0.14358559	0.01	0.00000000
national-pupil-database-agreement-and-individual-declaration		not	0.01	0.06	0.04177303	0.09783230	0.06	0.00000000
national-pupil-database-application-form-declaration-and-agreement		not	0.01	0.03	0.01763792	0.04143410	0.05	0.00000000
national-security-vetting		not	0.02	0.04	0.24701786	0.35342331	0.01	0.00000000
national-youth-social-action-fund-expressions-of-interest		not	0.01	0.04	0.04489689	0.10102987	0.04	0.00000000
nationality-and-settlement-checking-service-apply-for-regulation		not	0.01	0.01	0.08522701	0.08522701	0.04	0.00000000
nationality-and-settlement-checking-service-continued-regulation		not	0.01	0.01	0.05767708	0.05767708	0.03	0.00000000
nationality-and-settlement-checking-service-new-adviser		not	0.01	0.01	0.13511944	0.13511944	0.02	0.00000000
natural-england-contractors-and-partners-data-request-form		not	0.01	0.01	0.13490114	0.13490114	0.01	0.00000000
natural-england-licence-admiralty-charts-and-hydrographic-data		not	0.01	0.01	0.00805979	0.00805979	0.01	0.00000000
natural-england-licence-agreement-aerial-photography-and-height-data-next-perspectives		not	0.01	0.01	0.00799894	0.00799894	0.01	0.00000000
natural-england-licence-agreement-geological-data		not	0.01	0.02	0.03488779	0.05237236	0.01	0.00000000
natural-england-licence-agreement-land-cover-map-2007-raster-data		not	0.01	0.01	0.00911112	0.00911112	0.01	0.00000000
natural-england-licence-agreement-land-cover-map-2007-vector-data		not	0.01	0.01	0.00808964	0.00808964	0.01	0.00000000
natural-england-licence-agreement-landscape-description-unit-data		not	0.01	0.01	0.01590929	0.01590929	0.01	0.00000000
natural-england-licence-agreement-landscape-typology-data		not	0.01	0.01	0.01621771	0.01621771	0.01	0.00000000
natural-england-licence-agreement-marine-and-coastal-data		not	0.01	0.01	0.00373306	0.00373306	0.01	0.00000000
natural-england-licence-agreement-ordnance-survey-mapping-data		not	0.01	0.01	0.00887871	0.00887871	0.01	0.00000000
natural-england-licence-agreement-soils-data		not	0.01	0.03	0.01748457	0.02907944	0.01	0.00000000
ncardrs-antenatal-data-collection		not	0.01	0.03	0.10963364	0.24657326	0.02	0.00000000
ncardrs-delivery-data-collection		not	0.01	0.03	0.12442751	0.26814928	0.02	0.00000000
ncardrs-postnatal-data-collection		not	0.01	0.03	0.11414413	0.25345573	0.02	0.00000000
new-adviser-application-and-competence-statement		not	0.01	0.01	0.25705404	0.25705404	0.03	0.00000000
new-boatmasters-licence-task-record-book-msf-4367		not	0.01	0.01	0.18040638	0.18040638	0.01	0.00000000
new-burdens-community-governance-review-fund		not	0.01	0.01	0.00436392	0.00436392	0.01	0.00000000
newborn-blood-spot-screening-data-collection-templates		not	0.01	0.01	0.02200375	0.02200375	0.03	0.00000000
newborn-blood-spot-screening-online-card-order-registration		not	0.01	0.01	0.03520622	0.03520622	0.01	0.00000000
nhs-bowel-cancer-screening-research-application-form		not	0.01	0.01	0.00764980	0.00764980	0.01	0.00000000
nmrl-fastrack-request-form		not	0.01	0.01	0.02037201	0.02037201	0.02	0.00000000
non-organic-ingredient-application		not	0.01	0.01	0.00188646	0.00188646	0.01	0.00000000
non-resident-capital-gains-tax-rebasing-election-assets-held-in-non-uk-resident-settlement-at-5-april-2008-rbe1		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
non-resident-certificate-of-tax-liability-to-be-provided-to-non-resident-landlords-by-uk-letting-agents-or-tenants-nrl6		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
non-resident-landlord-annual-information-return-nrly		not	0.01	0.04	0.11773567	0.14841948	0.05	0.00000000
non-resident-landlord-application-to-receive-uk-rental-income-without-deduction-of-uk-tax-individuals-nrl1i		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
non-resident-landlords-company-or-trustee-application-to-have-uk-rental-income-without-deduction-of-uk-tax		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
non-resident-landlords-letting-agents-application-to-register-and-to-operate-the-scheme-through-branches		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
non-resident-landord-application-by-uk-letting-agents-registering-with-hmrc-non-resident-landlords-scheme-nrl4i		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
non-resident-landord-application-by-uk-letting-agents-to-operate-the-scheme-through-branches-nrl5i		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
non-resident-landord-application-to-receive-uk-rental-income-without-deduction-of-uk-tax-companies-nrl2i		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
non-resident-landord-guidance-notes-for-letting-agents-and-tenants-non-resident-landlords-scheme-guidance-notes		not	0.01	0.01	0.11765985	0.11765985	0.03	0.00000000
non-technical-summaries-granted-during-2013-volume-1		not	0.01	0.01	0.04003344	0.04003344	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-10		not	0.01	0.01	0.05133972	0.05133972	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-11		not	0.01	0.01	0.04449806	0.04449806	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-12		not	0.01	0.01	0.04332466	0.04332466	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-13		not	0.01	0.01	0.06671391	0.06671391	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-14		not	0.01	0.01	0.04144287	0.04144287	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-15		not	0.01	0.01	0.06851854	0.06851854	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-16		not	0.01	0.01	0.04797897	0.04797897	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-17		not	0.01	0.01	0.04117002	0.04117002	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-18		not	0.01	0.01	0.03861837	0.03861837	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-19		not	0.01	0.01	0.03155355	0.03155355	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-2		not	0.01	0.01	0.03893108	0.03893108	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-20		not	0.01	0.01	0.03387794	0.03387794	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-21		not	0.01	0.01	0.03540707	0.03540707	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-22		not	0.01	0.01	0.04217863	0.04217863	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-23		not	0.01	0.01	0.03997126	0.03997126	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-24		not	0.01	0.01	0.06174984	0.06174984	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-25		not	0.01	0.01	0.04787588	0.04787588	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-26		not	0.01	0.01	0.04843159	0.04843159	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-27		not	0.01	0.01	0.05977850	0.05977850	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-28		not	0.01	0.01	0.04520197	0.04520197	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-29		not	0.01	0.01	0.03439531	0.03439531	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-3		not	0.01	0.01	0.04397964	0.04397964	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-30		not	0.01	0.01	0.03474188	0.03474188	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-31		not	0.01	0.01	0.03361359	0.03361359	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-32		not	0.01	0.01	0.02930202	0.02930202	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-33		not	0.01	0.01	0.03598213	0.03598213	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-34		not	0.01	0.01	0.03488588	0.03488588	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-35		not	0.01	0.01	0.04627590	0.04627590	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-36		not	0.01	0.01	0.04808140	0.04808140	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-37		not	0.01	0.01	0.04612360	0.04612360	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-38		not	0.01	0.01	0.05729885	0.05729885	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-39		not	0.01	0.01	0.04425144	0.04425144	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-4		not	0.01	0.01	0.05710297	0.05710297	0.02	0.00000000
non-technical-summaries-granted-during-2013-volume-40		not	0.01	0.01	0.01531343	0.01531343	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-41		not	0.01	0.01	0.04449406	0.04449406	0.02	0.00000000
non-technical-summaries-granted-during-2013-volume-42		not	0.01	0.01	0.03423643	0.03423643	0.01	0.00000000
non-technical-summaries-granted-during-2013-volume-43		not	0.01	0.01	0.01988344	0.01988344	0.01	0.00000000
